user;digital_footprint_score;cpf_score;invitations_sent;invitations_sent_approved;friends_in_base;acquisition_source
62CC8752D6A0D48376F2B9430E840F56073FBAD80C479D0C8A9CAEC2A9E7C2E6;175;246000;0;0;0;U
467898B0360F379F7A3D499F90984B3D111D9B80EA1197A048CA23E805180099;30;451000;0;0;0;G
C0F050E57F07B83A7BD9A0BAB214A216BE9A1C2A3530FA0D51889B31B5766156;500;800000;1;1;2;G
6EC23D57997CAB2F1750944F6D5DC3C39A8D4A0C0E5FFC7DDE72C106BECD1E86;227;301000;0;0;0;G
DE96EA223B92974EE368D205E73CB07352070357DCFBEBCA93CDA2BB4272A89C;40;913000;1;1;0;G
2967EB2D4F401DB2F8831A89FF0A8CF55FD1783535B2CC1BC10B9771231A397E;201;953000;0;0;0;R
00F60FB9155A396DA36716869C9EABDFAFED26C0C76B54972DDDD19E913B3776;50;226000;0;0;0;F
0ABBA3EF8B52534EC9C4DA7B343CF081EB72C7236FA9B0C9951A0A2FCE25E9CC;50;201000;0;0;2;U
48A5D1C80E96D9CEFD995DD002ECBB71B460998B483C5C6C8FD847358BBB88AC;50;466000;2;1;0;U
217793C600E49A83556433B61EC0CAAF6F4ACA5E4ED4AE5FD9BB7ECE99CC4ECB;104;644000;0;0;0;G
80D7A16724A27EBCF1F48FDB8F2ACA10665AEE85E123185C240B474890F769BD;66;967000;0;0;2;R
F849A976A6E668AB7DE4A13DDD9C96F0198C64B5F48F3A3B69F2CBC755A8B9C5;145;43000;0;0;0;G
801D308C119211F97CA45282E0B5A102C5FD84B7ED035B7DE0BB5FEE6181877E;709;966000;0;0;0;R
20939CFD01B02E5FF1676AB5195B49AE8DAE452B8CF45484D6629A3E3CB78269;50;246000;1;0;2;G
95206FEC972F9F7A89478A16D53E2E215B4E820E6C63CEB0D705E16C2CBEB820;73;259000;1;1;0;G
EEE02F0EC97055D1655735B9A6D2569C26219153E988E487EB95C1C9A89A466E;74;377000;1;1;2;F
F943665A579266E4FC5479A23673E99FDD2AA2D4A6597B47053A828F7E71C47E;50;246000;0;0;0;G
97096A82014236A97EAA4346EBA84B113E915664503435A6FE070167C487C514;40;764000;0;0;0;G
3E702CA8B8E32BE1F741E17EF1B9C4AC4F9B54F24FE3B1D662C9EB77BE3E6591;40;850000;0;0;0;G
7141BAB574C1BDE96182B42CB613B95440409F9958BAE6976ADE2FBB978AF5E3;50;191000;0;0;0;U
AF50FC77969FD75D0BD4F615603048C4BAAD4629172FF4ED3A3C87C65DC89581;40;485000;1;1;4;U
96C8AD4647060C95BFB706576D1F7F771B0A90ED71A7C6A8B2593F79BC610F06;203;178000;0;0;1;F
A9957F7199FDABC03A5D8EF233FE9BBC111C09D5E150ACAB9DBA986B3C491CB1;86;107000;0;0;0;G
0450777B77D30A368F1F28E4993540BC3383897086B6F646D41BD332C5DB33BF;500;970000;0;0;0;D
D03F516A84DD8D99FEB484353C2A463B34567A99287022EB6B96514A54B663FC;86;377000;0;0;0;G
0322FF835133A55F75518AB41A8F78DB8A54E6F54167A7158BE9CFE4E4F124FD;71;845000;0;0;0;R
1B7327431850FFC8B8D5C67173D0904318D5A4E70E1821B1ED85DDBEED26FD18;500;107000;0;0;1;D
2E54448CAC8F811C5912DD450EE7DCB975611938A1A270B8895A2DDFE6F38376;93;900000;0;0;0;G
5C0AFD1DA2194D842E2A079A8AC6974E98A0BC90105FE520C6942FF3A49C749B;30;953000;0;0;1;G
AC77FE60249EFC4E8A0FBDFFE00A4705481303E886508C48876ED8D280AC5B22;50;178000;0;0;0;G
3820532C4463E5DDF933FB2817F0E7F8C09543C96C8E32CE711D5354DF5DF88E;40;219000;0;0;1;U
7AF5BCAD8059924AB0E2E6CE35D88381B8FF9B6CA238561BBD48D7DD75B1B540;40;377000;0;0;0;R
C3703BEB5FB3CE6E6505911BE27A37BCAF7DBC224F87EF1D3F53F648BB258545;132;896000;1;1;2;U
795B514D1DE961AD896AA591B481F1ED3C82A4D1986C0A0703C9545DB5E424B2;500;311000;0;0;0;G
3E0D67A346EDA812586830A86AAB4CB5FDE6BE7A883EACB956D814F837999C53;50;504000;0;0;3;U
8FAD44F667FD1C73661872864F7FE6DE60FEE845E0A551CD05483068FB05B290;50;710000;0;0;0;G
5937AE427A271B6A5C22D6AA1E295F6F34B2F8E1EC00DA15B31EB1BD04EF31D1;98;178000;0;0;0;G
7050A7CA0F5BBD34286AB52FAF6BA88765B18C657EE556E5E9D19D9642A8B577;50;932000;0;0;0;G
59372CAEB79E73E2188A5847739D52E88FE293BB4B2D9854B7B1123632F09D8B;281;968000;0;0;1;D
3C8E4140AB5858B435D69541E27ADB14BC02C71982F1273186DC279215D634FA;291;941000;0;0;0;F
0619CACD0A2AF4803324E8AEC19D3F49761E7510511F7E32D5756EC7D6CC5B93;120;60000;0;0;0;G
9041DE70B3B1CADA5678286657A56AB610C6140C7522BD33EC10D9362DEDAC9F;240;246000;0;0;4;G
CD4481955FF3465863AB1D96D1AD7D46836A80F2D97CB18DDED3A8F9591682FD;30;975000;0;0;3;U
B9FA50D756598B3064639DFFC0B739C1E7AD2A3B9D7A8D6C76DF1D6676BD8B6B;50;965000;0;0;0;G
FD02FC583CF7F03B5517378F63ABF7A1858E36CD293CA26F40F89EF84DF00894;500;951000;0;0;1;G
31B1BF363A241C388005B7E211156BC8F016EEC841F609A22FA1C13B638BE181;158;953000;0;0;0;R
F1926E0B3A0B24A8E96422C3BE664047FD67C56F952788F52DEDE07702586775;50;696000;0;0;0;U
15D9B12ABF573C02C678947BE6EA7BB48DA12321F69FA247C8A5000F34DA6366;77;913000;0;0;0;R
